timestamp,open,high,low,close,volume
2009-06-30,5.1800,5.7800,4.4500,4.8100,976160100
2009-05-29,4.4400,5.9400,4.3500,5.1500,732342200
2009-04-30,3.5400,4.5700,3.4900,4.3600,636304000
2009-03-31,3.1700,4.2000,2.8200,3.5700,952639900
2009-02-27,2.4000,3.7900,2.1200,3.2900,1044175500
2009-01-30,1.8300,2.9400,1.8300,2.4300,896492900
2008-12-31,2.8300,2.8800,1.5700,1.8300,706510700
2008-11-28,3.4500,4.5000,1.3500,2.7900,905960900
2008-10-31,6.1600,6.7200,2.8700,3.1300,925300600
2008-09-30,8.9000,9.0200,5.7500,6.1000,791529800
2008-08-29,8.1900,9.5700,7.0000,8.7200,938990500
2008-07-31,9.4100,9.7500,7.8600,8.1400,610676800
2008-06-30,9.4000,9.8300,7.6100,9.5000,745479600
2008-05-30,7.9900,9.9400,7.5800,9.3600,854999700
2008-04-30,6.8800,8.2900,6.2700,7.9900,637812100
2008-03-31,7.2100,7.2700,5.4800,6.6900,997449600
2008-02-29,10.6700,10.9100,7.0800,7.1100,735675900
2008-01-31,13.0900,13.1600,8.0700,10.5300,874275400
2007-12-31,15.5900,15.9200,12.9600,13.1300,434307900
2007-11-30,16.3000,17.4600,14.2200,15.5200,418486400
2007-10-31,19.0900,19.7000,16.7400,17.1000,401562600
2007-09-28,18.7000,19.2100,17.2400,19.0000,335764200
2007-08-31,20.5300,21.0500,17.5500,18.9200,462749700
2007-07-31,21.0800,22.6400,20.2400,20.5300,408378500
2007-06-29,23.0000,23.4200,20.5500,20.7100,414003800
2007-05-31,19.8900,23.0200,19.7600,22.8500,396043500
2007-04-30,19.0500,21.0000,18.8900,20.0300,328212900
2007-03-30,19.1000,20.4200,18.4800,18.9600,436662600
2007-02-28,17.8500,19.8100,17.5700,19.3000,388262900
2007-01-31,19.0300,19.7800,16.9300,17.8300,723401200
2006-12-29,19.5000,19.9200,18.6100,18.8900,365915800
2006-11-30,18.6800,20.6300,18.5700,19.5100,389558000
2006-10-31,17.2000,19.3000,16.7500,18.6900,577620000
2006-09-29,17.0000,17.5900,16.2500,17.1500,354968400
2006-08-31,19.6500,20.1500,15.9200,16.9200,695970000
2006-07-31,19.9900,20.8000,18.9600,19.8000,254628600
2006-06-30,21.3400,21.7200,19.3300,19.9900,352877700
2006-05-31,25.0000,25.2600,20.9500,21.2100,300115100
2006-04-28,25.9700,26.8900,23.9400,24.8000,285118600
2006-03-31,24.0300,26.2500,24.0200,25.8400,286221200
2006-02-28,22.8000,25.0100,22.4700,24.0300,233604600
2006-01-31,23.4700,24.0500,22.5400,22.8900,282311400
2005-12-30,25.0500,25.5100,23.3100,23.3600,251023000
2005-11-30,23.4800,26.8600,23.1600,25.0400,210029600
2005-10-31,23.9000,23.9300,22.1500,23.3100,271035600
2005-09-30,25.8300,26.0000,23.1000,23.7800,241241400
2005-08-31,27.0200,27.2000,24.8800,25.9300,251834500
2005-07-29,25.3200,27.0500,24.4700,26.9000,208871100
2005-06-30,23.6200,25.8700,23.5500,25.0900,210104600
2005-05-31,22.3000,23.7100,21.5700,23.6900,247651600
2005-04-29,22.8200,24.5400,22.0000,22.2600,229089400
2005-03-31,23.8000,24.2900,21.8000,22.7500,209586600
2005-02-28,24.0000,24.8500,22.9200,23.6800,321910700
2005-01-31,24.8300,25.1600,22.1700,23.8300,293870200
2004-12-31,22.8100,25.8000,22.4300,24.8500,432816200
2004-11-30,20.9500,23.1000,20.9200,22.8100,123955200
2004-10-29,20.1300,21.1000,19.8148,20.9500,127111300
2004-09-30,19.6800,20.5400,19.1100,20.1300,105344100
2004-08-31,18.7000,19.7100,17.8000,19.6800,88453200
2004-07-30,17.7300,19.1500,17.1000,18.6800,128798300
2004-06-30,17.5900,17.9600,16.8300,17.6000,142163500
2004-05-28,17.8000,18.2100,17.0300,17.7600,111763200
2004-04-30,18.5800,19.9900,17.6600,17.8900,132286900
